run_id,task,activation,seed,metric,row_index,value
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,val_ppl,556,84.49073028564453
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,val_ppl,1114,70.38180541992188
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,val_ppl,1672,67.5233154296875
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,val_loss,556,4.417665481567383
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,val_loss,1114,4.232512950897217
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,val_loss,1672,4.190566539764404
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,train_loss_epoch,557,5.130556106567383
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,train_loss_epoch,1115,4.517633438110352
334329ff-bcaf-4e64-bad4-31758f17bee1,lm_large,relu,7,train_loss_epoch,1673,4.406020641326904
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,val_ppl,556,84.29194641113281
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,val_ppl,1114,68.7915267944336
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,val_ppl,1672,65.58952331542969
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,val_loss,556,4.413853645324707
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,val_loss,1114,4.2095723152160645
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,val_loss,1672,4.161198616027832
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,train_loss_epoch,557,5.135141849517822
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,train_loss_epoch,1115,4.507482051849365
ebd43f55-137f-4719-b806-aa553a678981,lm_large,relu,2,train_loss_epoch,1673,4.38478422164917
074644dd-c3c2-46e2-982c-3ba1d48b00af,lm_large,relu,4,val_ppl,556,83.91703796386719
074644dd-c3c2-46e2-982c-3ba1d48b00af,lm_large,relu,4,val_ppl,1114,68.84491729736328
074644dd-c3c2-46e2-982c-3ba1d48b00af,lm_large,relu,4,val_ppl,1672,65.7926025390625
074644dd-c3c2-46e2-982c-3ba1d48b00af,lm_large,relu,4,val_loss,556,4.410645008087158
074644dd-c3c2-46e2-982c-3ba1d48b00af,lm_large,relu,4,val_loss,1114,4.210566997528076
