activation,run_id,layer,epoch,stat,value
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,lm_head,0,grad_l2,0.9405747102142653
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,lm_head,0,rel_update,0.03411005875560752
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,final_norm,0,grad_l2,0.06332424143348866
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,final_norm,0,rel_update,0.0028811918752747307
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear2,0,grad_l2,0.016710573173053574
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear2,0,rel_update,0.0008199682979753765
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear1,0,grad_l2,0.01807448834114609
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear1,0,rel_update,0.0008890128782039617
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm2,0,grad_l2,0.001346854048080165
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm2,0,rel_update,5.189509993363476e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.self_attn,0,grad_l2,0.02154030479291454
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.self_attn,0,rel_update,0.001093068845396087
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm1,0,grad_l2,0.0018810862430759297
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm1,0,rel_update,6.607545982834958e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.linear2,0,grad_l2,0.019202837222928006
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.linear2,0,rel_update,0.000941088537885728
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.linear1,0,grad_l2,0.019455329263409683
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.linear1,0,rel_update,0.0009554325555716285
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.norm2,0,grad_l2,0.0016325312090737737
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.norm2,0,rel_update,6.201448012382944e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.self_attn,0,grad_l2,0.02276020348415595
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.self_attn,0,rel_update,0.0011533962797364006
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.norm1,0,grad_l2,0.0022028944429053647
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.norm1,0,rel_update,7.307723188108301e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.linear2,0,grad_l2,0.023790706587276653
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.linear2,0,rel_update,0.0011646220475301037
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.linear1,0,grad_l2,0.023176468581381032
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.linear1,0,rel_update,0.0011373497738538724
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.norm2,0,grad_l2,0.0021506721770038774
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.norm2,0,rel_update,7.666177043871638e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.self_attn,0,grad_l2,0.028869436464774474
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.self_attn,0,rel_update,0.0014588249674119958
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.norm1,0,grad_l2,0.0031289979951677534
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.1.norm1,0,rel_update,9.065839551879377e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.linear2,0,grad_l2,0.03828626073132431
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.linear2,0,rel_update,0.0018678745043159905
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.linear1,0,grad_l2,0.029829796595720395
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.linear1,0,rel_update,0.0014558270360661215
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.norm2,0,grad_l2,0.0035619033255044085
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.norm2,0,rel_update,0.00010729262087806008
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.self_attn,0,grad_l2,0.049290001785430713
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.self_attn,0,rel_update,0.002404877916174415
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.norm1,0,grad_l2,0.00960497951974133
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.0.norm1,0,rel_update,0.0001495002539478768
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,lm_head,1,grad_l2,0.5947047626579783
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,lm_head,1,rel_update,0.01842098574146353
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,final_norm,1,grad_l2,0.04132624081006962
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,final_norm,1,rel_update,0.0019100812234270014
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear2,1,grad_l2,0.01995808652654398
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear2,1,rel_update,0.0009745312439958985
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear1,1,grad_l2,0.02365393069017157
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.linear1,1,rel_update,0.0011555694340590337
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm2,1,grad_l2,0.001962659160948934
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm2,1,rel_update,7.567145944066413e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.self_attn,1,grad_l2,0.023570973187819033
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.self_attn,1,rel_update,0.0011946018377795905
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm1,1,grad_l2,0.002243475855620603
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.3.norm1,1,rel_update,7.260114869970249e-05
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.linear2,1,grad_l2,0.02196607305969072
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.linear2,1,rel_update,0.0010720143247864192
gelu,ea1b2786-47f3-44e2-82f0-1463d1a06c1e,blocks.layers.2.linear1,1,grad_l2,0.023973582217547175
