run_id,task,activation,seed,metric,row_index,value
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,10,673.0623168945312
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,24,438.0122375488281
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,36,377.5813903808594
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,50,347.3471984863281
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,64,330.8205261230469
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,76,324.1656188964844
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,90,321.5079040527344
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,102,323.3490600585937
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,116,325.47149658203125
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_ppl,130,326.1400146484375
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,10,6.507892608642578
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,24,6.075002193450928
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,36,5.924281597137451
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,50,5.839645385742188
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,64,5.789572715759277
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,76,5.768055438995361
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,90,5.759074687957764
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,102,5.764283657073975
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,116,5.770607948303223
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,val_loss,130,5.7725677490234375
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,train_loss_epoch,11,8.014498710632324
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,train_loss_epoch,25,6.163706302642822
37b9a559-eba6-4acf-998d-ef811079e91b,lm,mish,3,train_loss_epoch,37,5.782125949859619
