run_id,activation,seed,completed,best_val_ppl,best_val_ppl_epoch,train_loss_epoch,val_loss,val_ppl,throughput_tokens_per_sec,peak_gpu_mem_mb
3e1ae8c5-07f7-4960-b05b-6661c67c7e7b,relu,3,True,315.6976318359375,6,4.975199699401856,5.752591609954834,319.6058654785156,137899.484375,4021.31396484375
9179029f-4ac1-494d-b9e2-9f1e138a9273,relu,0,True,318.00030517578125,6,4.986777305603027,5.755104064941406,320.2909851074219,104700.9765625,4021.31396484375
73f0d37f-d085-4836-a854-9ccadc17e034,relu,1,True,311.44342041015625,6,4.9679155349731445,5.736159324645996,314.21197509765625,134961.328125,4021.31396484375
5618112f-1004-412b-9bed-785c73a6bae1,relu,2,True,314.84197998046875,6,4.984426498413086,5.747972011566162,318.1379089355469,111065.046875,4021.31396484375
ea1b2786-47f3-44e2-82f0-1463d1a06c1e,gelu,0,True,311.7035217285156,6,4.948451042175293,5.737246513366699,314.5992736816406,48813.12109375,4020.664794921875
bd88eac9-f0d4-4d39-96a4-523dabf203fa,gelu,1,True,310.7877197265625,6,4.943195819854736,5.733681678771973,313.412353515625,135724.0,4020.664794921875
7ca34ca9-1ff8-4ba6-9eae-30b83a5fdfeb,gelu,2,True,309.8843688964844,6,4.948217391967773,5.733053684234619,313.5995483398437,54570.84765625,4020.664794921875
8873c20a-b9e5-426f-aed2-999e7d96e971,gelu,3,True,311.1361389160156,6,4.940633296966553,5.736937046051025,314.7051696777344,134485.484375,4020.664794921875
d44b615a-9dc4-4db8-9202-527cb54cbd06,leaky,0,True,317.9125671386719,6,4.986652851104736,5.756008625030518,320.5760803222656,56616.6640625,4020.634033203125
6f584f1d-b3fd-4d8b-82e4-d62fa3efb3dc,leaky,3,True,315.87469482421875,6,4.974665641784668,5.7525153160095215,319.552734375,135975.03125,4020.634033203125
b8849c0b-dd3c-4291-a15c-75064557f0ae,leaky,2,True,314.88067626953125,6,4.983831405639648,5.748281478881836,318.24493408203125,99390.4140625,4020.634033203125
9a53af31-0a85-4158-bb69-566e9bdfb09e,leaky,1,True,312.53973388671875,6,4.9703240394592285,5.740128040313721,315.4658203125,137731.25,4020.634033203125
67523e7f-7f35-4b43-a1b1-8a087f9bd085,silu,0,True,323.0604248046875,6,4.971960544586182,5.776425361633301,327.22186279296875,102670.3203125,4020.664794921875
4705f87e-adbe-4d8c-900f-0d7e6e52307d,silu,2,True,318.65545654296875,6,4.971861362457275,5.764671802520752,323.5376892089844,104373.2109375,4020.664794921875
efd54770-91a5-4e68-9b56-e4cbf58d3dfd,silu,1,True,321.9671936035156,6,4.970860481262207,5.772816181182861,325.8780517578125,134431.40625,4020.664794921875
86da18d5-f2c0-4f7c-a5b2-842d4d3573f6,silu,3,True,320.0683898925781,6,4.967008113861084,5.768041610717773,324.5893249511719,135513.984375,4020.664794921875
f80b8aa2-c3b9-4157-996b-6c7b84466755,tanh,0,True,347.9805908203125,5,5.067233562469482,5.858482837677002,354.9921569824219,53116.6328125,4021.32421875
9c5c5f67-9358-45dc-a262-b8632fd8822e,tanh,1,True,341.9324951171875,6,5.057592868804932,5.837995052337647,347.76080322265625,132391.828125,4021.32421875
31b4bb89-57ee-4c91-9c1f-55627e89f1d3,tanh,2,True,340.16046142578125,6,5.056663990020752,5.833376407623291,346.1484680175781,106680.875,4021.32421875
d476da16-f851-488a-8a50-6ddda81c51c2,tanh,3,True,342.7197265625,6,5.054355144500732,5.841192722320557,349.02056884765625,136204.78125,4021.32421875
