a,b,n_a,n_b,mean_a,mean_b,mean_diff,t,dof,p_raw,cohen_d,p_holm,direction
gelu,leaky,8,8,0.9220559224486351,0.9205921068787575,0.0014638155698776245,1.4388304506351322,13.334188309845509,0.1732565169964833,0.7194152253175661,1.0,max
gelu,mish,8,8,0.9220559224486351,0.9208717122673988,0.001184210181236267,1.3725506395327258,13.911547080902492,0.19161632997153286,0.6862753197663629,1.0,max
gelu,relu,8,8,0.9220559224486351,0.9205263257026672,0.001529596745967865,1.4596725361643532,13.06146424182266,0.16801033717170608,0.7298362680821765,1.0,max
gelu,scaled_tanh,8,8,0.9220559224486351,0.9188980236649513,0.003157898783683777,4.247680678279406,11.60568293703276,0.001218026990392246,2.123840339139703,0.027946582624422598,max
gelu,silu,8,8,0.9220559224486351,0.9210032895207405,0.0010526329278945923,1.2323948265349256,13.856668281335791,0.238303805927328,0.6161974132674628,1.0,max
gelu,swiglu,8,8,0.9220559224486351,0.9246546104550362,-0.002598688006401062,-3.570155273522574,11.047210741791135,0.004365124095849413,-1.7850776367612866,0.08730248191698826,max
gelu,tanh,8,8,0.9220559224486351,0.9192763194441795,0.0027796030044555664,3.4730209203145233,13.146595656777873,0.004059375411965663,1.7365104601572616,0.08524688365127892,max
leaky,mish,8,8,0.9205921068787575,0.9208717122673988,-0.0002796053886413574,-0.2830694627465241,12.858940595144002,0.7816292188037389,-0.14153473137326206,1.0,max
leaky,relu,8,8,0.9205921068787575,0.9205263257026672,6.578117609024048e-05,0.057052662111961784,13.96855757611835,0.9553113265401715,0.028526331055980885,1.0,max
leaky,scaled_tanh,8,8,0.9205921068787575,0.9188980236649513,0.0016940832138061523,1.9132862781019764,10.155976345573523,0.0842940520812787,0.9566431390509882,1.0,max
leaky,silu,8,8,0.9205921068787575,0.9210032895207405,-0.0004111826419830322,-0.41947964604433846,12.714754790127657,0.6818663685326298,-0.20973982302216923,1.0,max
leaky,swiglu,8,8,0.9205921068787575,0.9246546104550362,-0.0040625035762786865,-4.65660836557809,9.71821787334731,0.0009701761152895304,-2.328304182789045,0.023284226766948732,max
leaky,tanh,8,8,0.9205921068787575,0.9192763194441795,0.001315787434577942,1.4091902631133615,11.620795681902475,0.18497277490301606,0.7045951315566807,1.0,max
mish,relu,8,8,0.9208717122673988,0.9205263257026672,0.0003453865647315979,0.3388837197267937,12.545332548473832,0.7403023190667406,0.16944185986339685,1.0,max
mish,scaled_tanh,8,8,0.9208717122673988,0.9188980236649513,0.0019736886024475098,2.809973188750672,12.163704162356863,0.015572605436049833,1.404986594375336,0.280306897848897,max
mish,silu,8,8,0.9208717122673988,0.9210032895207405,-0.0001315772533416748,-0.16072418667350677,13.993137186502404,0.8746079009678054,-0.08036209333675337,1.0,max
mish,swiglu,8,8,0.9208717122673988,0.9246546104550362,-0.003782898187637329,-5.515165111484334,11.589477856807969,0.00015080167963032578,-2.7575825557421667,0.003920843670388471,max
mish,tanh,8,8,0.9208717122673988,0.9192763194441795,0.0015953928232192993,2.092707679660282,13.566882554989524,0.05568650115237927,1.046353839830141,0.8909840184380683,max
relu,scaled_tanh,8,8,0.9205263257026672,0.9188980236649513,0.0016283020377159119,1.7692040280391925,9.896985482950951,0.10760550214141262,0.8846020140195962,1.0,max
relu,silu,8,8,0.9205263257026672,0.9210032895207405,-0.0004769638180732727,-0.4713632987621546,12.39416234939243,0.6455703418422514,-0.2356816493810773,1.0,max
relu,swiglu,8,8,0.9205263257026672,0.9246546104550362,-0.004128284752368927,-4.547344866801102,9.488865775471817,0.0012150688097575042,-2.273672433400551,0.027946582624422598,max
relu,tanh,8,8,0.9205263257026672,0.9192763194441795,0.0012500062584877014,1.2927931993489443,11.294620900584523,0.22190226405862182,0.646396599674472,1.0,max
scaled_tanh,silu,8,8,0.9188980236649513,0.9210032895207405,-0.0021052658557891846,-3.0434312346240455,12.317580816582264,0.009940587580622367,-1.5217156173120228,0.18887116403182497,max
scaled_tanh,swiglu,8,8,0.9188980236649513,0.9246546104550362,-0.005756586790084839,-10.902627382181093,13.906355890329593,3.3884714462029e-08,-5.451313691090546,9.48772004936812e-07,max
scaled_tanh,tanh,8,8,0.9188980236649513,0.9192763194441795,-0.00037829577922821045,-0.6061439320460682,13.322406392880074,0.5546071498920327,-0.3030719660230341,1.0,max
silu,swiglu,8,8,0.9210032895207405,0.9246546104550362,-0.0036513209342956543,-5.409344455561878,11.743541662416249,0.0001700358311417695,-2.704672227780939,0.004250895778544237,max
silu,tanh,8,8,0.9210032895207405,0.9192763194441795,0.0017269700765609741,2.2947909647870164,13.66258492084495,0.03814148180978694,1.1473954823935082,0.6484051907663779,max
swiglu,tanh,8,8,0.9246546104550362,0.9192763194441795,0.005378291010856628,8.88244213508234,12.829895153557045,7.714250238142022e-07,4.441221067541169,2.082847564298346e-05,max
